Canonical,Team,Numbers,Variations
Caiden Kushnir,Alberta,13,Caiden Kushnir
Carson Fisher,Alberta,15,Carson Fisher
Judain Holness,York,4,Judain Holness
Jack Tunstill,Guelph,11,Jack Tunstill
J Helman,Guelph,13,J Helman
Shekhar Rana,Guelph,22,Shekhar Rana
Jayden Westerlund,Winnipeg,15,Jayden Westerlund
Sean Duff,McGill,6,Sean Duff
Alex Reinert-Woodfine,McGill,8,Alex Reinert-Woodfine
Miles King,McGill,11,Miles King
Emmanuel Tchicaya,McGill,13,Emmanuel Tchicaya
Saransh Padhy,McGill,22,Saransh Padhy
Noah Sincere,McGill,3,Noah Sincere
William Robinson,McGill,9,William Robinson
Luis Micourt,McGill,10,Luis Micourt
Alexis Messier,McGill,12,Alexis Messier
Alexandre Fortin,McGill,14,Alexandre Fortin
Erwin Ngouadjeu-Kitio,McGill,15,Erwin Ngouadjeu-Kitio
Isaac Moore,McGill,33,Isaac Moore
Drew Shuttleworth-Finn,Waterloo,13,Drew Shuttleworth-Finn
Maxwell Shimizu,McGill,5,Maxwell Shimizu
Elliot Caron,Algoma,2,Elliot Caron
Christopher Augustine,Algoma,14,Christopher Augustine
Eli Djordjevic,Calgary,1,Eli Djordjevic
Daniels Baumanis,Calgary,8,Daniels Baumanis
Martynas Sabaliauskas,Calgary,12,Martynas Sabaliauskas
